Comment,FullName,ShortName,Source,DestinationFolder,DestinationFile,URL,CommandType,Command,CommandLineSwitches,VerifyAfterCommand
,Windows Assessment and Deployment Kit 10,Windows_ADK_10_1607,http://go.microsoft.com/fwlink/p/?LinkId=526740,Windows ADK 10 1607,adksetup.exe,http://www.microsoft.com,EXEType01,adksetup.exe,/q /layout,UserExperienceManifest.xml
,Microsoft Deployment Toolkit 2013,MDT_2013_U2,https://download.microsoft.com/download/3/0/1/3012B93D-C445-44A9-8BFB-F28EB937B060/MicrosoftDeploymentToolkit2013_x64.msi,MDT 2013 Update 2,MicrosoftDeploymentToolkit2013_x64.msi,http://www.microsoft.com,NONE,,,,
,Visual C++ 2005 x86,VC2005X86,http://download.microsoft.com/download/8/B/4/8B42259F-5D70-43F4-AC2E-4B208FD8D66A/vcredist_x86.EXE,VC 2005,vcredist_x86.EXE,http://www.microsoft.com,NONE,,,,
,Visual C++ 2005 x64,VC2005X64,http://download.microsoft.com/download/8/B/4/8B42259F-5D70-43F4-AC2E-4B208FD8D66A/vcredist_x64.EXE,VC 2005,vcredist_x64.EXE,http://www.microsoft.com,NONE,,,,
,Visual C++ 2008 x86,VC2008X86,http://download.microsoft.com/download/5/D/8/5D8C65CB-C849-4025-8E95-C3966CAFD8AE/vcredist_x86.exe,VC 2008,vcredist_x86.exe,http://www.microsoft.com,NONE,,,,
,Visual C++ 2008 x86,VC2008X86,http://download.microsoft.com/download/5/D/8/5D8C65CB-C849-4025-8E95-C3966CAFD8AE/vcredist_x64.exe,VC 2008,vcredist_x64.exe,http://www.microsoft.com,NONE,,,,
,Visual C++ 2010 x86,VC2010X86,http://download.microsoft.com/download/1/6/5/165255E7-1014-4D0A-B094-B6A430A6BFFC/vcredist_x86.exe,VC 2010,vcredist_x86.exe,http://www.microsoft.com,NONE,,,,
,Visual C++ 2010 x86,VC2010X86,http://download.microsoft.com/download/1/6/5/165255E7-1014-4D0A-B094-B6A430A6BFFC/vcredist_x64.exe,VC 2010,vcredist_x64.exe,http://www.microsoft.com,NONE,,,,
,Visual C++ 2012 x86,VC2012X86,http://download.microsoft.com/download/1/6/B/16B06F60-3B20-4FF2-B699-5E9B7962F9AE/VSU_4/vcredist_x86.exe,VC 2012,vcredist_x86.exe,http://www.microsoft.com,NONE,,,,
,Visual C++ 2012 x86,VC2012X86,http://download.microsoft.com/download/1/6/B/16B06F60-3B20-4FF2-B699-5E9B7962F9AE/VSU_4/vcredist_x64.exe,VC 2012,vcredist_x64.exe,http://www.microsoft.com,NONE,,,,
,Visual C++ 2013 x86,VC2013X86,http://download.microsoft.com/download/2/E/6/2E61CFA4-993B-4DD4-91DA-3737CD5CD6E3/vcredist_x86.exe,VC 2013,vcredist_x86.exe,http://www.microsoft.com,NONE,,,,
,Visual C++ 2013 x86,VC2013X86,http://download.microsoft.com/download/2/E/6/2E61CFA4-993B-4DD4-91DA-3737CD5CD6E3/vcredist_x64.exe,VC 2013,vcredist_x64.exe,http://www.microsoft.com,NONE,,,,
,Visual C++ 2015 x86,VC2015X86,http://download.microsoft.com/download/9/3/F/93FCF1E7-E6A4-478B-96E7-D4B285925B00/vc_redist.x86.exe,VC 2015,vc_redist.x86.exe,http://www.microsoft.com,NONE,,,,
,Visual C++ 2015 x64,VC2015X86,http://download.microsoft.com/download/9/3/F/93FCF1E7-E6A4-478B-96E7-D4B285925B00/vc_redist.x64.exe,VC 2015,vc_redist.x64.exe,http://www.microsoft.com,NONE,,,,
,.Net Framework 4.6,NET46,http://download.microsoft.com/download/C/3/A/C3A5200B-D33C-47E9-9D70-2F7C65DAAD94/NDP46-KB3045557-x86-x64-AllOS-ENU.exe,NET Framework 46,NDP46-KB3045557-x86-x64-AllOS-ENU.exe,http://www.microsoft.com,NONE,,,,
,BGInfo,BGINFO,http://live.sysinternals.com/Bginfo.exe,BGInfo,BGInfo.exe,http://www.microsoft.com,NONE,,,,
,Report Viewer 2008 SP1,RV2008SP1,http://download.microsoft.com/download/3/a/e/3aeb7a63-ade6-48c2-9b6a-d3b6bed17fe9/ReportViewer.exe,Report Viewer 2008 SP1,ReportViewer.exe,http://www.microsoft.com,NONE,,,,
,SQL 2014 Express SP1,SQL2014ExpressSP1,http://download.microsoft.com/download/1/5/6/156992E6-F7C7-4E55-833D-249BD2348138/ENU/x64/SQLEXPRWT_x64_ENU.exe,SQL 2014 Express SP1,SQLEXPRWT_x64_ENU.exe,http://www.microsoft.com,NONE,,,,
,ConfigMgr 2012 R2 Toolkit,CM2012R2Toolkit,https://download.microsoft.com/download/5/0/8/508918E1-3627-4383-B7D8-AA07B3490D21/ConfigMgrTools.msi,ConfigMgr 2012 R2 Toolkit,ConfigMgrTools.msi,http://www.microsoft.com,NONE,,,,
,Windows 10 ADMX Templates,W10ADMXTemplates,https://download.microsoft.com/download/2/E/3/2E3A1E42-8F50-4396-9E7E-76209EA4F429/Windows10-ADMX.msi,Windows 10 ADMX Templates,Windows10-ADMX.msi,http://www.microsoft.com,NONE,,,,
